track_id,song_id,mode_confidence,end_of_fade_in,key_confidence,year,duration,time_signature_confidence,title,start_of_fade_out,analysis_sample_rate,time_signature,tempo,artist_id,artist_name,artist_hotttnesss,key,release,loudness
TRDSMDT128F426F21F,SOFBKPI12A8C131E4D,0.39,0.287,0.228,1972,291.86567,0.505,More Often Than Not,280.956,22050,4,160.437,ARVX1541187FB3CC59,Eric Andersen,0.361755743,2,Blue River,-13.659
TRZJAAQ128F9306409,SOFPLSI12AAF3B2B09,0.37,0.16,0.57,2000,315.66322,0,Jord,315.663,22050,1,68.299,ARVB3M81187B98908F,Thyrfing,0.445776759,5,Urkraft,-5.75
TRQSYMQ128E0795772,SOHFEBN12A67ADBCE4,0.576,0.194,0.677,2000,287.86893,0.424,Out Of Town,274.814,22050,4,179.433,ARWMPYS1187B9B4510,Zero 7,0.5728286,4,Simple Things,-8.991
TRFGMUW128F92FDA12,SORGSJD12AB017E1C5,0.696,0,0.943,2005,149.52444,0.76,SBRJ,145.647,22050,4,162.424,ARLLG1E1187B99C5F7,Shattered Realm,0.400912621,1,From The Dead End Blocks Where Life Means Nothing,-5.667
TRBXLSO128F14AC8B0,SOYSUGV12A6D4FB811,0.208,0.131,0.003,2006,196.62322,0.695,Rebelles,193.921,22050,5,67.954,AR70RXF1187B9B68FC,Irie R\xc3\xa9volt\xc3\xa9s,0.418322625,11,Voyage,-6.562
TRMUQZK128F9312AFC,SOCILMC12AB01821F7,0.439,0.148,0.314,1984,244.74077,0.67,Running Town,238.231,22050,5,152.462,ARWDRZU11F50C49720,Siouxsie And The Banshees,0.46576012,11,Hyaena,-6.904
TRQOZZB128F930290E,SODRYEB12AB017E2F7,0.668,0.438,0.841,1999,242.93832,0.734,Detour - Radio Edit,225.982,22050,4,182.152,ARY19RY1187B989EF1,Bis,0.366511522,1,Detour,-8.249
TRDYXWM12903CE7E73,SOLFZER12A58A7DBE9,0.447,0.136,0.393,2005,134.47791,0,El Mariachi Loco (The Siesta),122.079,22050,4,181.255,ARFW1A31187FB41B0A,A Small Good Thing,0.328323603,7,Osmosis,-15.418
TRCKLJJ12903CBB64A,SONDPPR12AB017C7F4,0.458,0.252,0.742,1993,273.31873,0.816,Clan In Da Front,273.319,22050,4,95.92,ARVTAI41187B9B8B67,Wu-Tang Clan,0.590800355,8,Enter The Wu-Tang Clan - 36 Chambers (Deluxe Version),-12.899
TRAXLEX128F92CF1A6,SOUMMNF12A8C139276,0.671,0.537,0.544,2008,293.53751,0.943,L'Amore Trasparente,277.763,22050,4,159.998,AR9J01P1187B9ADF25,Ivano Fossati,0.474453253,8,Musica Moderna,-7.08
TRBWNPX12903CC03AA,SOCPOMK12A8C13139C,0.337,0.438,0.378,1992,191.242,1,Our Singer,186.276,22050,3,102.817,ARVFF0Y1187B9AC3CA,Pavement,0.493950113,7,Slanted And Enchanted,-8.524
TRFOUYW128F933B9BF,SODQFNF12AB018548E,0.91,0,1,2006,240.71791,0.545,Things I'll Never Do Again,225.454,22050,4,85.955,AR5OB9M1187FB52F29,Darryl Worley,0.51676403,2,Here And Now,-11.369
TRCSKNG128F4243FCF,SOPJJYD12A8BEEEF29,0.409,0,0.065,1991,320.44363,0.873,Tell Me,314.99,22050,4,138.794,ARB3UT61187B98CBF8,The Cassandra Complex,0.415093242,5,Beyond The Wall Of Sleep,-12.498
TRYUJWB128F426C909,SOQCRIW12A8C13B072,0.595,0,0.702,1998,181.02812,0.004,My Little Needle,167.3,22050,4,121.652,ARC1SV21187FB4CF26,Alkaline Trio,0.571810552,4,Goddamnit!,-5.927
TRLZDVY128F92FAE68,SOEOITP12A8C142ABC,0.363,4.516,0.363,1993,70.45179,0.544,Woyaya,70.452,22050,3,134.646,ARJW1PT1187B9B9719,Book Of Love,0.392191295,9,Lovebubble,-21.907
TRRBORB128F426467E,SOHOGFR12A8C139B04,0.022,0.7,0,2006,158.53669,0,Swing valse,149.798,22050,1,191.91,AROVSYC119B3403921,Gus Viseur,0.277789967,2,Swing accordion - le swing \xc3\xa0 bretelles,-14.057
TRYTYWP128F4271F25,SOSRBTA12A8C135ED9,0.617,0,0.768,2006,500.1922,0.276,Synaesthesia (Fly Away),496.64,22050,4,140.011,AR47TCH1187FB476D0,The Thrillseekers Feat. Sheryl Deane,0.427815479,11,The Very Best Of Euphoric Dance Breakdown Summer 2008,-9.476
TRNZVAY128F148708F,SONXSOD12A6D4FA64F,0.346,0.2,0.03,2003,220.57751,1,Flamboyant,211.04,22050,4,122.727,ARA60941187B9AD4A3,Pet Shop Boys,0.483510463,8,PopArt: The Hits,-6.931
TRKLEGE128F4277DA7,SOTMLDA12A8C13B71B,0.706,0,0.787,2000,266.05669,0.236,Tonight,243.217,22050,4,158.93,AR6OLCY1187FB4D0C0,Ace Troubleshooter,0.196798561,9,Ace Troubleshooter,-5.894
TRBVJHX128F424EAE8,SOHXKKF12A8151BD93,0.402,0.903,0.22,2006,200.07138,0.643,Bring You Down,195.349,22050,4,129.128,AR8TRN91187FB3BB62,Attic Lights,0.339166154,4,Bring You Down,-3.783
TRWHOTA128F14A35D0,SOSVDXD12A6D4FB240,0.658,0.247,0.857,2001,201.27302,0,That Girl,198.42,22050,4,86.264,ARF816V1187B988E85,Eastern Standard Time,0.379938255,8,Time Is Tight,-8.181
TRTZSEK128F930339E,SOWVDRZ12AB0182419,0.571,0.136,0.64,1998,209.18812,1,Dehors,189.318,22050,3,86.113,ARDQ6XZ1187B9A817D,Alain Bashung,0.441154166,4,Fantaisie Militaire,-13.632
TRFLNCA128F930F508,SOPJHPC12A8C13CE0A,0.323,2.142,0.18,2004,242.41587,0.962,The Doldrums,221.814,22050,4,117.398,ARII7MH1187FB4F993,Ariel Pink's Haunted Graffiti,0.47541346,11,The Doldrums,-15.53
TRXWADR128F933D41B,SOUZTAZ12AB0189F84,0.593,0.112,0.625,2005,173.00853,0.52,That's All I Know For Sure,164.751,22050,4,152.734,AR0BGM11187B9B09BA,Olivia Newton-John,0.45783492,0,Stronger Than Before,-9.167
TRRQZPN128F145AA23,SOWAWYF12A6D4F67C9,0.071,8.092,0.346,1989,292.28363,0.83,Bang,279.005,22050,4,85.022,ARVT35W1187B98DE26,Gorky Park,0.380447203,4,Gorky Park,-11.172
TRNDKLJ12903CC84E4,SOSVWNU12AB018A19E,0.687,0.206,0.803,2010,266.23955,0.797,Telephone,260.348,22050,4,121.926,ARX6TAQ11C8A415850,Lady Gaga / Beyonc\xc3\xa9,0.838447768,0,Telephone,-3.452
TROGEQL128F42646B5,SOBHPDL12A8C139738,0.794,0.321,1,1994,333.34812,0,The Eyes Of Truth (140 Bpm) (Dub Version),321.173,22050,4,139.887,ARFOVF61187B9892CD,Enigma,0.542807953,11,The Eyes Of Truth,-13.887
TRXGUOP128F92FE12D,SORBDBC12A8C14142D,0.519,5.973,0.456,2006,291.42159,0.282,Gunpowder Chant,284.427,22050,4,135.025,AR73P6T1187B994881,Diablo Swing Orchestra,0.534383742,11,The Butcher's Ballroom,-5.792
TRVFTUB128F92EA2A0,SOKXFUH12A58A7B4FE,0.563,1.415,0.681,2005,430.8371,1,I Wanna Thank Ya,414.859,22050,4,127.962,ARRB3GQ1187FB52D14,Angie Stone,0.473502744,1,Dance Vault Mixes - I Wanna Thank Ya,-6.899
TRGJOMZ128F428A5AF,SOYDFDN12A8C142B6A,0.61,0,0.481,2001,268.12036,0,Invisible King,264.255,22050,1,126.796,ARFYXIH1187FB4063B,Niacin,0.357929866,11,Time Crunch,-10.207
TRUYQBO12903CAF418,SOUZTAT12AB018C86E,0.744,0.363,0.776,2002,187.34975,0.793,Words In The Wires,175.618,22050,4,88.364,ARV93CR1187B99C50B,Christian Kjellvander,0.43089189,1,Songs From A Two Room Chapel,-9.188
TRPYIRR128F4232864,SOYZZCU12A8151BAF3,0.547,0.119,0.681,2005,200.9073,0.567,Still Not Sorry,196.714,22050,4,130.008,AR0NT0I1187FB55EB8,Mynt,0.333799794,0,Still Not Sorry,-7.785
TRITAIA12903CAF4A0,SOKISUE12AB0183D76,0.437,0.195,0.438,2002,193.95873,0.683,DJ's & MC's Part II,193.959,22050,5,62.656,ARDQO721187FB3C6D9,Rodney O & Joe Cooley,0.307902094,6,Three The Hard Way,-17.249
TRGUCUR128F426B334,SOEJWJV12A58A7CC87,0.394,0,0.235,1999,139.25832,0,A Grande Volta,135.43,22050,1,172.868,AR5D7JS1187B98C01A,Charlie Brown Jr,0.481601111,1,Pre\xc3\xa7o Curto_ Prazo Longo,-2.891
TRKWQNE128F4247376,SOUEYKM12A58A7A32A,0.413,0.218,0.083,2005,280.18893,0.567,Ramala,273.92,22050,4,113.902,AR31PIQ1187FB38817,Zakopower,0.473912348,7,Music Hal,-6.475
TRBDGXL128F4278F1A,SOCCLGG12A8C134B1C,0.601,0.194,0.616,2000,215.74485,0.789,La Chica Del Gorro Azul,196.4,22050,4,141.927,ARBHW3X1187B999013,La Oreja de Van Gogh,0.54381765,2,El Viaje De Copperpot,-5.952
TRTRUJU128F1482B74,SOBLRNM12A6D4F7919,0.464,0.357,0.439,2006,215.97995,0.279,The Wolf Is Loose (Album Version),211.191,22050,4,170.639,ARMQHX71187B9890D3,Mastodon,0.574274731,10,Blood Mountain,-1.864
TRPQSYA12903CB287C,SOVDRJI12A58A7C321,0.52,0.392,0.203,2005,208.03873,0.293,Buleria del Ay!,202.095,22050,4,177.091,AROMORH1187FB50213,Ojos De Brujo,0.476543539,11,Bari,-7.266
TRRDFEU128F9330EF5,SOBZSCY12AB0181459,0.113,0.985,0.205,1999,423.3922,1,Electric Disco,412.479,22050,4,125.991,ARTC5DW1187B98FCF2,Plump DJs,0.453000826,7,Finger Lickin' Thang 4,-6.69
TRUVZKY128F92DE31D,SOHELBS12AAF3B39EF,0.662,0,0.743,2009,271.90812,0.269,Caught by Desire,241.534,22050,4,150.126,ARHL5KT1187B9A55E7,Entwine,0.453879376,7,Painstained,-5.67
TRMEFXD12903CDB929,SOPPIOO12AB0187B0B,0.482,0.311,0.532,2008,184.52853,0.054,Du beh\xc3\xb6ver aldrig mer vara r\xc3\xa4dd,176.205,22050,4,109.2,ARP0T551187B99971B,Lasse Lindh,0.412150599,3,Du beh\xc3\xb6ver aldrig mer vara r\xc3\xa4dd,-5.923
TRJYIGA12903CCDAB2,SOAPYNC12AB018A990,0.519,6.252,0.603,2010,195.13424,0.685,Okay,185.945,22050,7,158.961,ARPDVPJ1187B9ADBE9,Usher,0.854637828,7,Raymond v Raymond,-6.605
TRABWQQ128F933387D,SOSENAK12AB0181453,0.333,6.171,0.332,2005,707.3171,0.561,Open Secret (Paris),668.131,22050,5,82.396,ARGL5W51187FB41829,Jon Hassell,0.36306395,10, Maarifa Street,-24.316
TRYXHQR128F424DDC2,SODKKZA12A8C132901,0.267,3.715,0.103,1994,451.26485,1,Radiate,439.252,22050,4,128.015,ARJV7FC1187FB4646D,System 7,0.435026215,11,Point 3 Fire Album,-11.278
TRFJEGM128F427E0BE,SOCHNDG12A8C13BA36,0.521,0.206,0.336,1983,167.00036,0.329,Mil Horas,162.168,22050,1,200.209,AR937CC1187B99B9B9,Los Abuelos De La Nada,0.389119622,7,Completo,-11.954
TRSEOCM128F4277F61,SOXTTLO12A8C135047,0.798,0,0.899,2005,175.01995,1,Righteous Talk,166.412,22050,3,116.658,ARWNNIJ1187B993720,The Black Market Militia,0.360710637,6,The Black Market Militia,-9.15
TRXYIVT128F934407D,SOUJAWD12AB0181ED6,0.487,0.607,0.101,2001,226.53342,0.821,Back to the Bottle (album),224.229,22050,4,181.899,AR58EOO11C8A421DA0,The Steepwater Band,0.429307443,7,Brother to the Snake,-5.753
TRHBAHM12903CF4230,SOHMTCI12A6BD55768,0.165,0.165,0.47,1999,196.72771,0.796,The Cross,191.361,22050,4,167.988,AR6ETQ11187B9B006C,Samael,0.497527846,9,Aeonics - An Anthology,-5.308
TRNBIHR128F426E425,SOOXROF12A8C139F35,0,0.148,0,2007,69.48526,1,FULL BACKPACK,69.485,22050,4,96.576,AR57VUG119B866923E,Onra,0.499772221,10,Les Chinoiseries,-6.928
TRDYJPJ128F92D801C,SODGHKX12A8C145227,0.478,4.313,0.092,2002,152.45016,0.239,Smells Like Menopause,150.384,22050,3,141.735,ARQ6QOK1187B9B0A2E,Kalibas,0.360349392,7,Product Of Hard Living,-8.014
TRCBKWD128F424472F,SODEBBW12A8C1356AB,0.702,0.1,0.689,1969,243.27791,0,Stagger Lee,232.403,22050,4,81.462,ARVVOPC1187FB5C450,Wilbert Harrison,0.335777748,1,Let's Work Together,-14.664
TRLBSGA128F92F8E9D,SOEMLWN12AB0180DE3,0,4.865,0,2008,300.5122,0.482,Innocent,286.319,22050,3,110.379,ARSL3N21187B98DFC5,Klaus Badelt,0.469340374,9,Pour Elle,-21.499
TRZYRIY128F92F3829,SOPORLJ12AB017E150,0.588,0.293,0.567,2008,269.45261,0.95,Un des deux en l'air,260.963,22050,1,93.143,ARGFJZI1187B9B5AF1,Gabriel Yacoub,0.349980228,7,De la nature des choses,-11.229
TRPKDCN128E079829D,SOZGAZW12A67ADD4E5,0.283,0.403,0.346,2005,211.93098,0.967,Maggot At Midnight,211.931,22050,4,91.929,ARJXVSV1187B9A252F,Goldie Lookin Chain,0.462737057,2,Safe As Fuck,-4.54
TRACMVK128F148984B,SOHCCBY12A6D4F7F50,0.549,0,0.572,2006,234.60526,0.985,Positivisme,223.266,22050,4,91.964,AR2AIW411C8A42C5C2,Jiggy Dj\xc3\xa9,0.38673101,6,Noah's Ark,-6.368
TRDINUC128F93011D4,SOOWQDV12A67ADD156,0.529,0.182,0.007,2004,167.60118,0.84,Dark Does Die,149.206,22050,4,62.609,ARM7BMQ1187B9B1F2E,Sunday Drivers,0.478537917,2,Little Heart Attacks,-9.912
TRZACOK128F426F98E,SOGCJMG12A8C13D779,0.292,0,0.321,1992,172.32934,0.942,Manhattan,167.05,22050,3,101.324,ARC5GLV1187B9913AF,Lee Wiley,0.345763052,8,Music of Manhattan_ 1951,-22.757
TRZNYZD128F4235B84,SOYITWE12A8AE45874,0.164,0.085,0,2007,48.63955,1,"Interlude - ""The Old Man"" #2",45.906,22050,4,85.348,AR2R67I1187FB4FF3E,Birdman,0.63060375,8,5 * Stunna,-17.491
TRSGJBY128F92F7CE7,SOVAEWK12AB0183AC2,0.603,0.148,0.801,2002,182.85669,0.369,Ten Minute Romance,182.857,22050,4,104.441,ARG9E8O1187B99AB4F,Bury Your Dead,0.506804744,11,You Had Me At Hello,-6.68
TRAKRLP128F9314D67,SOBUYZG12AB0185C5A,0.431,0.305,0.503,2002,182.64771,1,My Love Strikes Like Lightning,175.549,22050,3,105.499,ARAJEN41187B9B31EF,Nick Moss & The Flip Tops,0.324366578,2,Got a New Plan,-7.155
TRQFVEP12903CD061B,SOJAYLG12AB0184301,0.162,1.03,0.581,2005,471.74485,0.663,Whistling In Tongues,461.723,22050,4,102.022,ARIDPUH122988F5A4E,Felix Laband,0.236249693,2,Dark Days Exit,-12.745
TRXMAMB128F4246B82,SOJGEIJ12A6D4FB166,0.352,0.171,0.432,1990,223.65995,0.111,Cracked Brain,207.83,22050,4,99,AR21X5F1187FB380A5,DESTRUCTION,0.449333025,2,Thrash Anthems,-3.468
TRPEVKU128F421FE04,SOHKXRJ12AF729E244,0.353,0.694,0.291,1996,141.06077,0.418,Angry,136.162,22050,5,174.173,ARV5PQO1187B9B929C,Naked Aggression,0.395126599,9,Naked Regression: Recordings 1991-1994,-7.346
TRNRKEE128F425F1E4,SOVXATL12A8AE46379,0.494,0.333,0.479,1992,180.50567,0.974,Viimeinen Laulu,166.075,22050,5,96.181,ARVV2NT1187B989456,Neon 2,0.365726123,9,Polku,-14.668
TRFUBAR12903CE17A2,SOVJKGN12AB018DE01,0.45,0.086,0.606,2010,276.08771,0.234,Speak Low,266.472,22050,7,83.995,ARNITNO1187FB555D3,Arturo Sandoval,0.423527585,10,A Time For Love,-14.095
TRXFUCC128F4263650,SOEOPBA12A8C130E30,0.393,2.926,0.157,1994,537.93914,0.523,E Preciso Perdoar (One Must Forgive),509.817,22050,7,139.161,ARSWHKY1187B9B40B2,GROVER WASHINGTON_ JR.,0.405967577,5,All My Tomorrows,-12.021
TRZLRXN12903CF2E16,SOKZMEN12AC9071647,0.529,0.131,0.347,2004,162.7424,0.627,I'm gonna haunt you,149.838,22050,4,154.12,AROHMXJ1187B989023,Fabienne Delsol,0.398524723,2,The Cheap Sampler Vol.3,-6.005
TRTXZBF128F92F4332,SOQXYOF12AB017C9D2,0.271,0,0.428,2005,447.34649,0.142,Akhera Goiti - Akhera Beiti (One Black Opalith for Tomorrow),440.448,22050,1,163.054,ARX18RJ1187B9AEFB7,Absu,0.39629674,8,Mythological Occult Metal,-3.688
TRQSPAC128F14899AF,SOCLZKR12A6D4F88C2,0.714,0.665,0.737,1998,178.72934,0.131,Don Luis El Tejano,175.874,22050,1,149.379,ARS1I2E1187B99A8F8,Latin Breed,0.195478114,2,Edicion Limitada,-6.969
TRZFLZM128F42761CD,SOLFVUJ12A8C13DD92,0.568,0,0.417,2007,289.2273,0.546,No me crees (duo con Javier Ojeda_ fuengirola 07),289.227,22050,4,85.493,AREEUN81187B98D69E,Efecto Mariposa,0.422639523,2,Vivo en vivo,-4.022
TRMQDXA128F424BE55,SOHSHNM12A8C135E6A,0.905,0.363,1,1992,166.89587,0.298,Madame Sosthene,159.98,22050,3,128.449,ARL3CJ91187B9A0794,The Cajun Playboys,0.306550283,7,Cajun Party!,-14.839
TRFQIIV128F4257754,SOEYADS12A8C132CBE,0.477,0.496,0.132,2003,182.17751,0.676,Until I Find You,177.464,22050,4,96.987,ARSLAVY1187B9BA622,Stacie Orrico,0.51028129,11,Stuck,-4.806
TRUXZVP12903CC8475,SOFCCNC12AB018BE75,0.516,0.525,0.779,1996,127.05914,0,Soy una bomba,127.059,22050,1,154.654,ARUOG1J1187FB396CD,Los Vegetales,0.345973387,1,1985-1990,-13.717
TRDJYPM128F9327A29,SOXBMHB12AB0181F9A,0.436,0,0.047,1977,203.67628,0,Leaving You,194.078,22050,4,90.055,ARD8JVH1187FB4DA04,Bad Company,0.482100019,11,Burnin' Sky,-7.489
TRJGUAN128F4293F4A,SOIEAHO12A8C13A475,0.563,0,0.565,2004,257.20118,0,Negative Creep,253.318,22050,4,172.585,AR2I8O01187B9ADF56,Velvet Revolver,0.556901312,6,Slither,-4.615
TRCPBLL128F14957C0,SOMJELE12A6D4FB43B,0.327,0.397,0.383,1971,166.71302,1,Red Roses For A Blue Lady,159.242,22050,4,123.992,ARFRKEY1187FB5B391,Guy Lombardo,0.389233225,0,Enjoy Yourself: The Hits Of Guy Lombardo,-14.117
TRIZHWS128F4269CF5,SOIRNBU12A8C13BDBF,0.494,0.154,0.465,2002,347.84608,0.607,Never Wait,347.846,22050,4,131.27,ARAWVZP1187B9A45F8,Dionysus,0.414753178,8,Sign Of Truth,-3.865
TRRSXNY128F429609C,SOIIXZH12A8C13A1DB,0.645,0.194,0.603,2002,280.99873,0.745,I'd Rather Be Wrong,265.956,22050,4,140.174,ARP4QTX1187FB380D5,Syleena Johnson,0.391806139,10,Chapter 1: Love_ Pain & Forgiveness,-7.699
TRKBUAE128F14AA1E6,SOXKWXV12A6D4FC2E2,0.321,0.38,0.225,1993,200.80281,0.569,That's The Way It Goes,185.632,22050,4,95.79,ARHG18S1187B9B560D,Royal Crescent Mob,0.270398854,0,Good Lucky Killer,-8.603
TRUAZZD128F932A9EB,SOOXYGA12AB0180A59,0.551,0,0.591,2006,231.10485,0.87,Clone Your Lover,224.34,22050,4,115.952,AR4JARH1187FB47284,Cinderella Effect,0.456866169,1,Pearls,-8.022
TRNDKFS128F426370E,SOKVVLY12A8C134BD6,0.746,0.305,0.689,1996,285.25669,0,Your Let Down,283.156,22050,4,61.799,ARLB9PJ1187B9AC984,Chokebore,0.374066128,10,A Taste For Bitters,-9.927
TRGONIZ128F935A58B,SOFCQPJ12AB0188C8A,0.537,0,0.454,2006,202.57914,0.973,Singel,195.419,22050,4,124.114,ARXN4F91187FB4911B,Gaute Orm\xc3\xa5sen,0.353368786,1,G For Gaute,-5.386
TRISIFW12903CD3949,SOXQZNX12AB0186383,0,0.142,0,1996,301.53098,1,Portion,286.395,22050,4,119.409,AR5R69M1187FB50FA7,Freddy Fresh,0.380812902,1,Accidentally Classic,-13.1
TRWJPOH128E078EF7A,SOKQPYO12A6702134B,0.854,0.228,1,1995,294.47791,0,I Don't Even Know Myself,287.521,22050,1,129.791,ARWX5TK1187FB4CDBE,The Who,0.58703963,5,Who's Next,-8.946
